cost = 0.248709, w1 = 2.456042, w2 = -2.639040
cost = 0.248708, w1 = 2.456043, w2 = -2.638902
cost = 0.248708, w1 = 2.456045, w2 = -2.638764
cost = 0.248708, w1 = 2.456046, w2 = -2.638627
cost = 0.248708, w1 = 2.456047, w2 = -2.638489
cost = 0.248708, w1 = 2.456048, w2 = -2.638351
cost = 0.248707, w1 = 2.456049, w2 = -2.638213
cost = 0.248707, w1 = 2.456051, w2 = -2.638075
cost = 0.248707, w1 = 2.456052, w2 = -2.637938
cost = 0.248707, w1 = 2.456053, w2 = -2.637800
cost = 0.248706, w1 = 2.456054, w2 = -2.637662
cost = 0.248706, w1 = 2.456055, w2 = -2.637524
cost = 0.248706, w1 = 2.456057, w2 = -2.637386
cost = 0.248706, w1 = 2.456058, w2 = -2.637249
cost = 0.248705, w1 = 2.456059, w2 = -2.637111
cost = 0.248705, w1 = 2.456060, w2 = -2.636974
cost = 0.248705, w1 = 2.456061, w2 = -2.636836
cost = 0.248705, w1 = 2.456062, w2 = -2.636699
cost = 0.248704, w1 = 2.456063, w2 = -2.636561
cost = 0.248704, w1 = 2.456064, w2 = -2.636423
cost = 0.248704, w1 = 2.456065, w2 = -2.636286
cost = 0.248704, w1 = 2.456067, w2 = -2.636148
cost = 0.248704, w1 = 2.456068, w2 = -2.636011
cost = 0.248703, w1 = 2.456069, w2 = -2.635873
cost = 0.248703, w1 = 2.456070, w2 = -2.635736
cost = 0.248703, w1 = 2.456071, w2 = -2.635598
cost = 0.248703, w1 = 2.456073, w2 = -2.635461
cost = 0.248702, w1 = 2.456074, w2 = -2.635324
cost = 0.248702, w1 = 2.456075, w2 = -2.635186
cost = 0.248702, w1 = 2.456076, w2 = -2.635049
cost = 0.248702, w1 = 2.456077, w2 = -2.634912
cost = 0.248701, w1 = 2.456079, w2 = -2.634774
cost = 0.248701, w1 = 2.456079, w2 = -2.634637
cost = 0.248701, w1 = 2.456080, w2 = -2.634500
cost = 0.248701, w1 = 2.456081, w2 = -2.634363
cost = 0.248701, w1 = 2.456082, w2 = -2.634226
cost = 0.248700, w1 = 2.456084, w2 = -2.634089
cost = 0.248700, w1 = 2.456085, w2 = -2.633951
cost = 0.248700, w1 = 2.456086, w2 = -2.633814
cost = 0.248700, w1 = 2.456087, w2 = -2.633677
cost = 0.248699, w1 = 2.456088, w2 = -2.633540
cost = 0.248699, w1 = 2.456089, w2 = -2.633403
cost = 0.248699, w1 = 2.456091, w2 = -2.633266
cost = 0.248699, w1 = 2.456092, w2 = -2.633129
cost = 0.248698, w1 = 2.456093, w2 = -2.632992
cost = 0.248698, w1 = 2.456094, w2 = -2.632854
cost = 0.248698, w1 = 2.456095, w2 = -2.632718
cost = 0.248698, w1 = 2.456097, w2 = -2.632581
cost = 0.248698, w1 = 2.456098, w2 = -2.632444
cost = 0.248697, w1 = 2.456099, w2 = -2.632307
cost = 0.248697, w1 = 2.456100, w2 = -2.632170
cost = 0.248697, w1 = 2.456101, w2 = -2.632033
cost = 0.248697, w1 = 2.456102, w2 = -2.631896
cost = 0.248696, w1 = 2.456103, w2 = -2.631760
cost = 0.248696, w1 = 2.456104, w2 = -2.631623
cost = 0.248696, w1 = 2.456105, w2 = -2.631486
cost = 0.248696, w1 = 2.456106, w2 = -2.631349
cost = 0.248695, w1 = 2.456108, w2 = -2.631212
cost = 0.248695, w1 = 2.456109, w2 = -2.631075
cost = 0.248695, w1 = 2.456110, w2 = -2.630939
cost = 0.248695, w1 = 2.456111, w2 = -2.630802
cost = 0.248695, w1 = 2.456112, w2 = -2.630665
cost = 0.248694, w1 = 2.456114, w2 = -2.630528
cost = 0.248694, w1 = 2.456115, w2 = -2.630391
cost = 0.248694, w1 = 2.456116, w2 = -2.630255
cost = 0.248694, w1 = 2.456117, w2 = -2.630118
cost = 0.248693, w1 = 2.456118, w2 = -2.629982
cost = 0.248693, w1 = 2.456119, w2 = -2.629845
cost = 0.248693, w1 = 2.456120, w2 = -2.629709
cost = 0.248693, w1 = 2.456121, w2 = -2.629572
cost = 0.248692, w1 = 2.456122, w2 = -2.629436
cost = 0.248692, w1 = 2.456123, w2 = -2.629299
cost = 0.248692, w1 = 2.456124, w2 = -2.629163
cost = 0.248692, w1 = 2.456125, w2 = -2.629026
cost = 0.248692, w1 = 2.456127, w2 = -2.628890
cost = 0.248691, w1 = 2.456128, w2 = -2.628754
cost = 0.248691, w1 = 2.456129, w2 = -2.628617
cost = 0.248691, w1 = 2.456130, w2 = -2.628481
cost = 0.248691, w1 = 2.456131, w2 = -2.628345
cost = 0.248690, w1 = 2.456133, w2 = -2.628208
cost = 0.248690, w1 = 2.456134, w2 = -2.628072
cost = 0.248690, w1 = 2.456135, w2 = -2.627935
cost = 0.248690, w1 = 2.456136, w2 = -2.627799
cost = 0.248690, w1 = 2.456137, w2 = -2.627663
cost = 0.248689, w1 = 2.456138, w2 = -2.627527
cost = 0.248689, w1 = 2.456139, w2 = -2.627390
cost = 0.248689, w1 = 2.456140, w2 = -2.627254
cost = 0.248689, w1 = 2.456141, w2 = -2.627118
cost = 0.248688, w1 = 2.456142, w2 = -2.626982
cost = 0.248688, w1 = 2.456144, w2 = -2.626846
cost = 0.248688, w1 = 2.456145, w2 = -2.626709
cost = 0.248688, w1 = 2.456146, w2 = -2.626573
cost = 0.248687, w1 = 2.456147, w2 = -2.626437
cost = 0.248687, w1 = 2.456148, w2 = -2.626301
cost = 0.248687, w1 = 2.456150, w2 = -2.626165
cost = 0.248687, w1 = 2.456151, w2 = -2.626029
cost = 0.248687, w1 = 2.456152, w2 = -2.625892
cost = 0.248686, w1 = 2.456153, w2 = -2.625756
cost = 0.248686, w1 = 2.456154, w2 = -2.625620
cost = 0.248686, w1 = 2.456156, w2 = -2.625484
cost = 0.248686, w1 = 2.456157, w2 = -2.625348
cost = 0.248685, w1 = 2.456158, w2 = -2.625212
cost = 0.248685, w1 = 2.456159, w2 = -2.625076
cost = 0.248685, w1 = 2.456160, w2 = -2.624940
cost = 0.248685, w1 = 2.456161, w2 = -2.624804
cost = 0.248684, w1 = 2.456162, w2 = -2.624668
cost = 0.248684, w1 = 2.456163, w2 = -2.624532
cost = 0.248684, w1 = 2.456164, w2 = -2.624396
cost = 0.248684, w1 = 2.456165, w2 = -2.624260
cost = 0.248684, w1 = 2.456166, w2 = -2.624125
cost = 0.248683, w1 = 2.456167, w2 = -2.623988
cost = 0.248683, w1 = 2.456169, w2 = -2.623852
cost = 0.248683, w1 = 2.456170, w2 = -2.623717
cost = 0.248683, w1 = 2.456171, w2 = -2.623581
cost = 0.248682, w1 = 2.456172, w2 = -2.623445
cost = 0.248682, w1 = 2.456173, w2 = -2.623309
cost = 0.248682, w1 = 2.456175, w2 = -2.623174
cost = 0.248682, w1 = 2.456176, w2 = -2.623038
cost = 0.248681, w1 = 2.456177, w2 = -2.622902
cost = 0.248681, w1 = 2.456178, w2 = -2.622766
cost = 0.248681, w1 = 2.456179, w2 = -2.622631
cost = 0.248681, w1 = 2.456180, w2 = -2.622495
cost = 0.248681, w1 = 2.456181, w2 = -2.622360
cost = 0.248680, w1 = 2.456182, w2 = -2.622224
cost = 0.248680, w1 = 2.456183, w2 = -2.622088
cost = 0.248680, w1 = 2.456184, w2 = -2.621953
cost = 0.248680, w1 = 2.456185, w2 = -2.621817
cost = 0.248679, w1 = 2.456187, w2 = -2.621682
cost = 0.248679, w1 = 2.456188, w2 = -2.621546
cost = 0.248679, w1 = 2.456189, w2 = -2.621410
cost = 0.248679, w1 = 2.456190, w2 = -2.621275
cost = 0.248678, w1 = 2.456191, w2 = -2.621139
cost = 0.248678, w1 = 2.456192, w2 = -2.621004
cost = 0.248678, w1 = 2.456194, w2 = -2.620868
cost = 0.248678, w1 = 2.456195, w2 = -2.620733
cost = 0.248678, w1 = 2.456196, w2 = -2.620597
cost = 0.248677, w1 = 2.456197, w2 = -2.620462
cost = 0.248677, w1 = 2.456198, w2 = -2.620326
cost = 0.248677, w1 = 2.456199, w2 = -2.620191
cost = 0.248677, w1 = 2.456200, w2 = -2.620056
cost = 0.248676, w1 = 2.456201, w2 = -2.619921
cost = 0.248676, w1 = 2.456202, w2 = -2.619786
cost = 0.248676, w1 = 2.456203, w2 = -2.619650
cost = 0.248676, w1 = 2.456204, w2 = -2.619515
cost = 0.248676, w1 = 2.456205, w2 = -2.619380
cost = 0.248675, w1 = 2.456207, w2 = -2.619244
cost = 0.248675, w1 = 2.456208, w2 = -2.619109
cost = 0.248675, w1 = 2.456209, w2 = -2.618973
cost = 0.248675, w1 = 2.456210, w2 = -2.618838
cost = 0.248674, w1 = 2.456211, w2 = -2.618703
cost = 0.248674, w1 = 2.456213, w2 = -2.618568
cost = 0.248674, w1 = 2.456214, w2 = -2.618433
cost = 0.248674, w1 = 2.456215, w2 = -2.618297
cost = 0.248673, w1 = 2.456216, w2 = -2.618162
cost = 0.248673, w1 = 2.456217, w2 = -2.618027
cost = 0.248673, w1 = 2.456218, w2 = -2.617892
cost = 0.248673, w1 = 2.456220, w2 = -2.617757
cost = 0.248673, w1 = 2.456221, w2 = -2.617622
cost = 0.248672, w1 = 2.456222, w2 = -2.617487
cost = 0.248672, w1 = 2.456223, w2 = -2.617352
cost = 0.248672, w1 = 2.456223, w2 = -2.617217
cost = 0.248672, w1 = 2.456224, w2 = -2.617082
cost = 0.248671, w1 = 2.456225, w2 = -2.616947
cost = 0.248671, w1 = 2.456227, w2 = -2.616812
cost = 0.248671, w1 = 2.456228, w2 = -2.616677
cost = 0.248671, w1 = 2.456229, w2 = -2.616542
cost = 0.248670, w1 = 2.456230, w2 = -2.616407
cost = 0.248670, w1 = 2.456231, w2 = -2.616272
cost = 0.248670, w1 = 2.456233, w2 = -2.616137
cost = 0.248670, w1 = 2.456234, w2 = -2.616002
cost = 0.248670, w1 = 2.456235, w2 = -2.615867
cost = 0.248669, w1 = 2.456236, w2 = -2.615732
cost = 0.248669, w1 = 2.456237, w2 = -2.615597
cost = 0.248669, w1 = 2.456239, w2 = -2.615463
cost = 0.248669, w1 = 2.456240, w2 = -2.615328
cost = 0.248668, w1 = 2.456241, w2 = -2.615193
cost = 0.248668, w1 = 2.456242, w2 = -2.615058
cost = 0.248668, w1 = 2.456243, w2 = -2.614924
cost = 0.248668, w1 = 2.456244, w2 = -2.614789
cost = 0.248667, w1 = 2.456245, w2 = -2.614655
cost = 0.248667, w1 = 2.456246, w2 = -2.614521
cost = 0.248667, w1 = 2.456247, w2 = -2.614386
cost = 0.248667, w1 = 2.456248, w2 = -2.614251
cost = 0.248667, w1 = 2.456249, w2 = -2.614117
cost = 0.248666, w1 = 2.456250, w2 = -2.613982
cost = 0.248666, w1 = 2.456251, w2 = -2.613848
cost = 0.248666, w1 = 2.456253, w2 = -2.613713
cost = 0.248666, w1 = 2.456254, w2 = -2.613579
cost = 0.248665, w1 = 2.456255, w2 = -2.613444
cost = 0.248665, w1 = 2.456256, w2 = -2.613310
cost = 0.248665, w1 = 2.456257, w2 = -2.613175
cost = 0.248665, w1 = 2.456259, w2 = -2.613041
cost = 0.248665, w1 = 2.456260, w2 = -2.612906
cost = 0.248664, w1 = 2.456261, w2 = -2.612772
cost = 0.248664, w1 = 2.456262, w2 = -2.612638
cost = 0.248664, w1 = 2.456263, w2 = -2.612503
cost = 0.248664, w1 = 2.456264, w2 = -2.612369
cost = 0.248663, w1 = 2.456265, w2 = -2.612235
cost = 0.248663, w1 = 2.456266, w2 = -2.612101
cost = 0.248663, w1 = 2.456267, w2 = -2.611966
cost = 0.248663, w1 = 2.456268, w2 = -2.611832
cost = 0.248662, w1 = 2.456269, w2 = -2.611698
cost = 0.248662, w1 = 2.456270, w2 = -2.611563
cost = 0.248662, w1 = 2.456271, w2 = -2.611429
cost = 0.248662, w1 = 2.456272, w2 = -2.611294
cost = 0.248662, w1 = 2.456274, w2 = -2.611160
cost = 0.248661, w1 = 2.456275, w2 = -2.611026
cost = 0.248661, w1 = 2.456276, w2 = -2.610892
cost = 0.248661, w1 = 2.456277, w2 = -2.610757
cost = 0.248661, w1 = 2.456278, w2 = -2.610623
cost = 0.248660, w1 = 2.456280, w2 = -2.610489
cost = 0.248660, w1 = 2.456281, w2 = -2.610355
cost = 0.248660, w1 = 2.456282, w2 = -2.610221
cost = 0.248660, w1 = 2.456283, w2 = -2.610086
cost = 0.248659, w1 = 2.456284, w2 = -2.609952
cost = 0.248659, w1 = 2.456285, w2 = -2.609818
cost = 0.248659, w1 = 2.456286, w2 = -2.609684
cost = 0.248659, w1 = 2.456287, w2 = -2.609550
cost = 0.248659, w1 = 2.456288, w2 = -2.609416
